City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
186,prieska,-29.6641,22.7474,277.69,37,0,1.16,ZA,1722913656
187,kununurra,-15.7667,128.7333,305.14,37,5,5.14,AU,1722913435
188,curvelo,-18.7564,-44.4308,291.32,68,19,1.9,BR,1722913425
189,acapulco de juarez,16.8634,-99.8901,301.05,78,75,1.03,MX,1722913548
190,okoneshnikovo,54.8377,75.0834,292.29,77,91,3.58,RU,1722913663
191,saguenay,48.4168,-71.0657,289.31,77,85,1.83,CA,1722913664
192,newman,37.3138,-121.0208,305.28,43,97,2.24,US,1722913665
193,toropets,56.4978,31.6353,287.02,90,67,0.68,RU,1722913666
194,idri,27.5,13.2667,303.09,16,0,3.31,LY,1722913667
195,takoradi,4.8845,-1.7554,296.19,89,100,3.66,GH,1722913668
196,nuuk,64.1835,-51.7216,282.49,81,100,3.09,GL,1722913670
197,carbondale,37.7273,-89.2168,299.25,87,0,0.0,US,1722913460
198,posto fiscal rolim de moura,-13.0833,-62.2667,297.55,44,0,1.12,BR,1722913672
199,iskateley,67.6803,53.1512,282.01,59,5,5.27,RU,1722913398
200,vila franca do campo,37.7167,-25.4333,296.38,93,17,2.48,PT,1722913411
201,sal rei,16.1833,-22.9167,297.99,87,51,3.65,CV,1722913676
202,richards bay,-28.783,32.0377,287.65,76,0,1.93,ZA,1722913513
203,tazovsky,67.4667,78.7,282.19,63,0,7.23,RU,1722913678
204,guerrero negro,27.9769,-114.0611,294.8,81,3,5.26,MX,1722913679
205,fale old settlement,-9.3852,-171.2468,300.69,79,90,4.7,TK,1722913680
206,barmer,25.75,71.3833,299.63,86,100,4.5,IN,1722913681
207,alnavar,15.4333,74.7333,298.1,87,100,3.52,IN,1722913574
208,akureyri,65.6835,-18.0878,283.11,93,75,1.03,IS,1722913430
209,parabel',58.6978,81.4825,293.26,78,51,3.61,RU,1722913685
210,chul'man,56.8479,124.9104,284.73,97,100,3.24,RU,1722913662
211,isangel,-19.55,169.2667,297.21,60,75,1.03,VU,1722913687
212,ratnagiri,16.9833,73.3,299.97,86,100,3.68,IN,1722913688
213,hermanus,-34.4187,19.2345,280.82,79,4,4.63,ZA,1722913689
214,ingeniero jacobacci,-41.3427,-69.5448,276.47,68,100,2.04,AR,1722913690
